search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
seattle homeless,/watch?v=EntaDh7pI98&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@fox13seattle,FOX 13 Seattle,Critics argue it's too hot for Seattle to tear down homeless encampments | FOX 13 Seattle,27K,3 years,"Seattle Mayor Bruce Harrell responded to criticism on Wednesday, as the city continues removing homeless camps during the ...",2026-01-22 05:38:50.471581
seattle homeless,/shorts/rVMmBy9PeQU,/@komonews,KOMO News,"Mayor Wilson delays Ballard camp removal, sparking debate on Seattle's homeless strategy",4.7K,6 days,The decision to postpone the scheduled removal of a homeless camp in Ballard may signal how newly-elected Mayor Katie ...,2026-01-22 05:38:50.472978
seattle homeless,/watch?v=rkQKjYuGzVI&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@fox13seattle,FOX 13 Seattle,Homeless man attacks tourist near Space Needle,2.9K,7 years,,2026-01-22 05:38:50.474131
seattle homeless,/shorts/XEU1RFKCcjc,/@komonews,KOMO News,RV safe lot is now helping people exit homelessness in Seattle,22K,1 year,"Rising above a line of fencing along 15th Ave West in Seattle, the tops of several motorhomes are visible at the Salmon Bay ...",2026-01-22 05:38:50.475422
seattle homeless,/watch?v=bBubNM9SSMw&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@homelessinsider,Homeless Insider,FENTANYL Crisis turned Seattle into a ZOMBIELAND - Worse than You Think - Documentary,3K,3 months,"75. FENTANYL Crisis turned Seattle into a ZOMBIELAND - Worse than You Think - Documentary Seattle, once celebrated for its ...",2026-01-22 05:38:50.477295
seattle homeless,/watch?v=0FYfilHa4iY&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@CambodiaUncensored,Cambodia Uncensored ,"Seattle Homeless & Fentanyl Crisis! look like Mogadishu, Somalia 😭",164,1 month,"Seattle is often called a depressing city due to its long periods of overcast and rainy weather, which can impact mood and ...",2026-01-22 05:38:50.478497
seattle homeless,/watch?v=Xq0MgTL9HMc&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@AFP,AFP News Agency,Homelessness remains major problem in Seattle,15K,8 years,"While homelessness across the United States has fallen ten percent in the last decade, the situation on the west coast is very ...",2026-01-22 05:38:50.480214
seattle homeless,/watch?v=NeYWp9DxdlM&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@komonews,KOMO News,'We’ve had enough': encampments return to area previously cleared in southwest Seattle,71K,6 months,"After significant work to clear homeless encampments and connect people to housing in southwest Seattle, neighbors say ...",2026-01-22 05:38:50.481463
seattle homeless,/shorts/eVYox_ngvsY,/@KING5Seattle,KING 5 Seattle,Man living in Seattle homeless camp arrested for alleged child rape,909,4 months,The 5-year-old girl and her mother are also living in the Mount Baker neighborhood camp.,2026-01-22 05:38:50.482620
seattle homeless,/watch?v=87DUZgs-Ur8&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@KING5Seattle,KING 5 Seattle,"Seattle takes new, unhurried approach to clearing homeless camps",10K,4 years,Residents of the Broadview Thompson and Ballard Commons homeless camps were given over a month to get connected with ...,2026-01-22 05:38:50.483817
