search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
seattle crime,/shorts/u6w6RSYBCmY,/@komonews,KOMO News,"Seattle restaurant suffers 25th break-in since 2020, calls on city leaders for action",6.8K,2 months,A restaurant owner in Seattle's Eastlake neighborhood is fed up after suffering his 25th break-in at his small business over just the ...,2026-01-22 05:37:36.405793
seattle crime,/shorts/mrAc-IOakVk,/@KING5Seattle,KING 5 Seattle,Seattle's Chinatown residents demanding action as crime soars,2.3K,1 year,,2026-01-22 05:37:36.407977
seattle crime,/watch?v=WfkGLwiXdd0&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@KING5Seattle,KING 5 Seattle,"While Seattle crime is high, levels haven't reached historic peaks",9.2K,3 years,"The crime rate in Seattle is not good right now, but in comparison to prior decades, it's not the worst the city has seen.",2026-01-22 05:37:36.409338
seattle crime,/watch?v=zNVYeeMpbnE&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@komonews,KOMO News,Belltown residents demand accountability as drug trade impacts Seattle neighborhood,10K,11 months,Complaints have been building for months about the drugs and other dangers that make people feel unsafe in Seattle's Belltown ...,2026-01-22 05:37:36.410698
seattle crime,/watch?v=gQUlS2-7oXw&pp=ygUNc2VhdHRsZSBjcmltZdIHCQmHCgGHKiGM7w%3D%3D,/@komonews,KOMO News,Seattle's Real Time Crime Center helps change modern policing with high-tech surveillance,6K,6 months,"The Seattle Police Department's Real Time Crime Center is changing modern policing in the city, with live video feeds monitoring ...",2026-01-22 05:37:36.412631
seattle crime,/watch?v=zhG6r_rfGnM&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@komonews,KOMO News,Deep Dive: Inside the violent Seattle burglary spree targeting celebrities from Macklemore to Ichiro,24K,4 months,Police and prosecutors in western Washington have zeroed in on one man as the ringleader in a string of violent burglaries ...,2026-01-22 05:37:36.414012
seattle crime,/watch?v=Hqk9NvK-inI&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@CrimeeWatchersss,CrimeWatchers,"2 MIN AGO: Massive ICE Raid Shakes Seattle - Cartel Leaders Arrested, Fentanyl & Weapons Seized",1.7M,2 months,"2 MIN AGO: Massive ICE Raid Shakes Seattle - Cartel Leaders Arrested, Fentanyl & Weapons Seized.",2026-01-22 05:37:36.415326
seattle crime,/watch?v=YoDoZyh5t6w&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@CartelCrackdown,Cartel Crackdown,Massive DEA Raid in Seattle: 7 Million Lethal Doses & War-Grade Weapons SEIZED,2.7K,6 hours,"00:00 - The Largest Takedown in Washington History 04:15 - Inside the Sinaloa Cartel's ""Drug Superhighway"" 08:30 - The Enemy ...",2026-01-22 05:37:36.417136
seattle crime,/watch?v=mS3-l10dccI&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@fox13seattle,FOX 13 Seattle,Seattle City Council to vote on crime camera expansion | FOX 13 Seattle,337,4 months,The Seattle City Council is expected to vote on two measures aimed at helping Seattle police address crime. Subscribe to FOX 13 ...,2026-01-22 05:37:36.418588
seattle crime,/watch?v=wZzCHdtg7VU&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@komonews,KOMO News,Trio of violent crimes in downtown Seattle on Halloween night put focus on public safety,2.7K,2 months,"Seattle Police reported a trio of violent crimes in the early-morning hours after a rainy Halloween night in Seattle, prompting locals ...",2026-01-22 05:37:36.420042
seattle crime,/shorts/SNEMFYPMPTU,/@komonews,KOMO News,"UW ends suspensions from IEB takeover, vandalism but no charges filed",1.2K,1 day,The University of Washington says suspensions have ended for students involved in a violent takeover and vandalism inside the ...,2026-01-22 05:37:36.421610
seattle crime,/shorts/M579rlTxvU4,/@komonews,KOMO News,Independent investigation underway after man with gun killed by Seattle police,2.9K,1 month,An independent investigation is now underway into the fatal officer-involved shooting near the Othello light rail station on Tuesday ...,2026-01-22 05:37:36.422983
seattle crime,/watch?v=dQ4PZEQq488&pp=ygUNc2VhdHRsZSBjcmltZdIHCQmHCgGHKiGM7w%3D%3D,/@fox13seattle,FOX 13 Seattle,"Some violent crime down in Seattle, but homicides are up",769,2 years,"Data shows some violent crime is down in Seattle, but homicides numbers are 20% higher than last year. Subscribe to FOX 13 ...",2026-01-22 05:37:36.424374
seattle crime,/watch?v=sR-rmQG5eyA&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@fox13seattle,FOX 13 Seattle,The Spotlight: Local crimes caught on camera,482K,1 year,"A vicious assault on Seattle's Waterfront, an armed robbery at a Pierce County coffee shop, and the notorious ""Belltown Hellcat"" ...",2026-01-22 05:37:36.425820
seattle crime,/shorts/EGsBJauXdQc,/@komonews,KOMO News,Video shows random attack on 75-year-old woman in downtown Seattle,35K,1 month,Newly-released videos show the moments a man attacked a woman at random outside the King County Courthouse in downtown ...,2026-01-22 05:37:36.427270
seattle crime,/watch?v=goHEcz88hjo&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@fox13seattle,FOX 13 Seattle,Seattle Police Chief Shon Barnes lays out new crime plan | FOX 13 Seattle,1.7K,6 months,Seattle Police Chief Shon Barnes is introducing Seattle-Centric Policing to address city-specific crime issues using data-driven ...,2026-01-22 05:37:36.428695
seattle crime,/watch?v=O8X3VMk7Jtw&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@fox13seattle,FOX 13 Seattle,Seattle police release bodycam of deadly officer involved shooting | FOX 13 Seattle,8.9K,1 month,The Seattle Police Department has released bodycam video of the officers involved in a deadly shooting of an armed man in the ...,2026-01-22 05:37:36.430976
seattle crime,/watch?v=12eKSHeSgQM&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@komonews,KOMO News,"Multiple teenagers arrested after speeding down Seattle highway in stolen SUV, shooting at police",26K,1 month,A high-speed chase and gunfire exchange on Seattle's I-5 freeway led to the arrest of multiple teenagers after they allegedly shot ...,2026-01-22 05:37:36.432322
seattle crime,/watch?v=Y8gP07TwxKI&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@fox13seattle,FOX 13 Seattle,The Spotlight: Dangerous weapons bust at Seattle store,26K,2 months,"Switchblade knives, butterfly blades and metal knuckles, The Spotlight shows you the dangerous weapons suspects were arming ...",2026-01-22 05:37:44.546237
seattle crime,/shorts/VTX15ZW1ctU,/@KING5Seattle,KING 5 Seattle,A weekend of violence in Pioneer Square,4.6K,2 months,Halloween weekend proved a violent one for Seattle's Pioneer Square with multiple shootings and a stabbing taking place.,2026-01-22 05:37:44.547518
seattle crime,/watch?v=Vc9wh88MWlA&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@komonews,KOMO News,"Seattle residents demand safer streets at community forum, police say communication is key",20K,5 months,"It was a nighttime gathering to talk about what is worrying people who live in central Seattle, an area many forum participants said ...",2026-01-22 05:37:44.548658
seattle crime,/shorts/Aidcl_889hM,/@KING5Seattle,KING 5 Seattle,Multiple injured in Tacoma stabbing and fire,16K,1 day,Three people were stabbed in Tacoma early Tuesday morning at a home for people in recovery. One of the victims also suffered ...,2026-01-22 05:37:44.550052
seattle crime,/watch?v=SFgwK915vHY&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@fox13seattle,FOX 13 Seattle,Lynnwood police release video of violent robbery targeting elderly couple | FOX 13 Seattle,24K,4 weeks,Two suspects are facing charges after a violent parking lot robbery in Lynnwood left an elderly woman with a broken vertebra.,2026-01-22 05:37:44.551386
seattle crime,/watch?v=VvARHwtA7DE&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@komonews,KOMO News,"Crowbar-wielding man arrested after attacking pedestrians, breaking windows in Seattle",14K,1 month,A chaotic scene unfolded Tuesday evening in Seattle's Queen Anne neighborhood as a man wielding a crowbar caused ...,2026-01-22 05:37:44.552572
seattle crime,/watch?v=StP6bwnm6L0&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@komonews,KOMO News,SWAT team make arrests for triple homicide outside Seattle nightclub,22K,7 months,Multiple suspects were arrested in south Seattle in connection with a triple homicide outside of a Pioneer Square nightclub.,2026-01-22 05:37:44.554163
seattle crime,/watch?v=FWYtBfpVCY0&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@fox13seattle,FOX 13 Seattle,Seattle man charged in string of high-profile robberies,3.4K,4 months,"A suspect with a lengthy criminal history, Patrick Maysonet, was arrested in connection with the robbery of rapper Macklemore's ...",2026-01-22 05:37:44.555287
seattle crime,/shorts/2D3PmhAp5FU,/@KING5Seattle,KING 5 Seattle,Belltown shooting sparks frustration as crime in the neighborhood increases,7.5K,4 months,"A 24-year-old man was shot in the hand during an attempted robbery, police said. According to Seattle police data, there has ...",2026-01-22 05:37:44.557201
seattle crime,/watch?v=qLLcSsQZJfk&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@KING5Seattle,KING 5 Seattle,Why violent juvenile crime is up across Washington,25K,1 year,"You've seen the headlines, and we've reported on it. Law enforcement experts told KING 5 that juveniles are committing violent ...",2026-01-22 05:37:44.558970
seattle crime,/shorts/17tbWXAef88,/@FoxNews,Fox News,Seattle residents respond to questions on crime,288K,1 year,Subscribe to Fox News! https://bit.ly/2vBUvAS Watch more Fox News Video: http://video.foxnews.com Watch Fox News Channel ...,2026-01-22 05:37:44.560164
